frame,houdini_frame,point_id,x,y,z,u,purity,intensity
7,7,3,0.070964,0.099318,0.009688,0.061224,0.859624,0.843835
7,7,4,0.094618,0.132424,0.012917,0.081633,0.859624,0.838572
7,7,5,0.118273,0.165530,0.016146,0.102041,0.859624,0.833309
7,7,6,0.141927,0.198636,0.019376,0.122449,0.859624,0.828046
7,7,7,0.165582,0.231742,0.022605,0.142857,0.859624,0.822783
7,7,8,0.189237,0.264848,0.025834,0.163265,0.859624,0.817520
7,7,9,0.212891,0.297954,0.029063,0.183673,0.859624,0.812257
7,7,10,0.236546,0.331060,0.032293,0.204082,0.859624,0.806994
7,7,11,0.260200,0.364166,0.035522,0.224490,0.859624,0.801731
7,7,12,0.283855,0.397272,0.038751,0.244898,0.859624,0.796468
7,7,13,0.307509,0.430378,0.041980,0.265306,0.859624,0.791205
7,7,14,0.331164,0.463484,0.045210,0.285714,0.859624,0.785942
7,7,15,0.354819,0.496590,0.048439,0.306122,0.859624,0.780679
7,7,16,0.378473,0.529696,0.051668,0.326531,0.859624,0.775416
7,7,17,0.402128,0.562802,0.054898,0.346939,0.859624,0.770153
7,7,18,0.425782,0.595907,0.058127,0.367347,0.859624,0.764890
7,7,19,0.449437,0.629013,0.061356,0.387755,0.859624,0.759627
7,7,20,0.473092,0.662119,0.064585,0.408163,0.859624,0.754364
7,7,21,0.496746,0.695225,0.067815,0.428571,0.859624,0.749101
7,7,22,0.520401,0.728331,0.071044,0.448980,0.859624,0.743838
7,7,23,0.544055,0.761437,0.074273,0.469388,0.859624,0.738575
7,7,24,0.567710,0.794543,0.077502,0.489796,0.859624,0.733312
7,7,25,0.591364,0.827649,0.080732,0.510204,0.859624,0.728049
7,7,26,0.615019,0.860755,0.083961,0.530612,0.859624,0.722786
7,7,27,0.638674,0.893861,0.087190,0.551020,0.859624,0.717523
7,7,28,0.662328,0.926967,0.090419,0.571429,0.859624,0.712260
7,7,29,0.685983,0.960073,0.093649,0.591837,0.859624,0.706997
7,7,30,0.709637,0.993179,0.096878,0.612245,0.859624,0.701734
7,7,31,0.733292,1.026285,0.100107,0.632653,0.859624,0.696471
7,7,32,0.756946,1.059391,0.103337,0.653061,0.859624,0.691208
7,7,33,0.780601,1.092497,0.106566,0.673469,0.859624,0.685945
7,7,34,0.804256,1.125603,0.109795,0.693878,0.859624,0.680682
7,7,35,0.827910,1.158709,0.113024,0.714286,0.859624,0.675419
7,7,36,0.851565,1.191815,0.116254,0.734694,0.859624,0.670156
7,7,37,0.875219,1.224921,0.119483,0.755102,0.859624,0.664893
7,7,38,0.898874,1.258027,0.122712,0.775510,0.859624,0.659630
7,7,39,0.922528,1.291133,0.125941,0.795918,0.859624,0.654367
7,7,40,0.946183,1.324239,0.129171,0.816327,0.859624,0.649104
7,7,41,0.969838,1.357345,0.132400,0.836735,0.859624,0.643841
7,7,42,0.993492,1.390451,0.135629,0.857143,0.859624,0.638578
7,7,43,1.017147,1.423557,0.138858,0.877551,0.859624,0.633315
7,7,44,1.040801,1.456663,0.142088,0.897959,0.859624,0.628052
7,7,45,1.064456,1.489769,0.145317,0.918367,0.859624,0.622789
7,7,46,1.088111,1.522875,0.148546,0.938776,0.859624,0.617526
7,7,47,1.111765,1.555981,0.151776,0.959184,0.859624,0.612263
7,7,48,1.135420,1.589087,0.155005,0.979592,0.859624,0.607000
7,7,49,1.159074,1.622193,0.158234,1.000000,0.859624,0.601737
8,8,0,0.000000,0.000000,0.000000,0.000000,0.838223,0.838223
8,8,1,0.018116,0.036381,0.003766,0.020408,0.838223,0.833091
8,8,2,0.036232,0.072763,0.007532,0.040816,0.838223,0.827959
8,8,3,0.054347,0.109144,0.011298,0.061224,0.838223,0.822827
8,8,4,0.072463,0.145526,0.015064,0.081633,0.838223,0.817696
8,8,5,0.090579,0.181907,0.018830,0.102041,0.838223,0.812564
8,8,6,0.108695,0.218288,0.022596,0.122449,0.838223,0.807432
8,8,7,0.126811,0.254670,0.026362,0.142857,0.838223,0.802300
8,8,8,0.144926,0.291051,0.030128,0.163265,0.838223,0.797168
8,8,9,0.163042,0.327433,0.033894,0.183673,0.838223,0.792036
8,8,10,0.181158,0.363814,0.037661,0.204082,0.838223,0.786904
8,8,11,0.199274,0.400196,0.041427,0.224490,0.838223,0.781772
8,8,12,0.217390,0.436577,0.045193,0.244898,0.838223,0.776640
8,8,13,0.235505,0.472958,0.048959,0.265306,0.838223,0.771508
8,8,14,0.253621,0.509340,0.052725,0.285714,0.838223,0.766376
8,8,15,0.271737,0.545721,0.056491,0.306122,0.838223,0.761244
8,8,16,0.289853,0.582103,0.060257,0.326531,0.838223,0.756112
8,8,17,0.307968,0.618484,0.064023,0.346939,0.838223,0.750980
8,8,18,0.326084,0.654865,0.067789,0.367347,0.838223,0.745848
8,8,19,0.344200,0.691247,0.071555,0.387755,0.838223,0.740716
8,8,20,0.362316,0.727628,0.075321,0.408163,0.838223,0.735584
8,8,21,0.380432,0.764010,0.079087,0.428571,0.838223,0.730452
8,8,22,0.398547,0.800391,0.082853,0.448980,0.838223,0.725320
8,8,23,0.416663,0.836773,0.086619,0.469388,0.838223,0.720188
8,8,24,0.434779,0.873154,0.090385,0.489796,0.838223,0.715056
8,8,25,0.452895,0.909535,0.094151,0.510204,0.838223,0.709924
8,8,26,0.471011,0.945917,0.097917,0.530612,0.838223,0.704792
8,8,27,0.489126,0.982298,0.101683,0.551020,0.838223,0.699660
8,8,28,0.507242,1.018680,0.105450,0.571429,0.838223,0.694528
8,8,29,0.525358,1.055061,0.109216,0.591837,0.838223,0.689396
8,8,30,0.543474,1.091442,0.112982,0.612245,0.838223,0.684264
8,8,31,0.561590,1.127824,0.116748,0.632653,0.838223,0.679132
8,8,32,0.579705,1.164205,0.120514,0.653061,0.838223,0.674000
8,8,33,0.597821,1.200587,0.124280,0.673469,0.838223,0.668868
